Tarih,TP_FG_J0,TP_FG_J01,TP_FG_J02,TP_FG_J03,TP_FG_J04,TP_FG_J05,TP_FG_J06,TP_FG_J07,TP_FG_J08,TP_FG_J09,TP_FG_J10,TP_FG_J11,TP_FG_J12
2013-4,219.75,233.02,400.16,152.5,260.56,174.53,132.7,209.22,121.36,157.73,213.91,289.15,254.84
2013-5,220.07,227.94,400.17,165.99,260.46,174.15,132.88,209.5,121.84,158.45,217.61,291.31,253.89
2013-6,221.75,232.09,400.14,163.1,261.19,174.51,133.07,212.63,121.92,160.75,221.93,293.13,254.01
2013-7,222.44,232.61,399.8,155.46,262.35,174.76,133.67,217.48,123.07,161.18,223.73,294.84,253.16
2013-8,222.21,230.82,399.86,149.84,263.24,174.74,134.18,219.01,122.98,161.89,226.4,297.09,256.3
2013-9,223.91,232.52,399.92,146.43,265.05,176.08,134.39,223.36,123.08,162.46,232.1,301.48,258.72
2013-10,227.94,241.62,396.99,160.43,266.0,178.86,134.66,224.11,123.08,163.47,232.74,304.32,257.65
2013-11,227.96,238.38,394.43,165.68,267.16,179.79,135.69,223.92,122.57,164.53,232.74,306.28,258.18
2013-12,229.01,241.85,383.94,161.41,269.55,180.13,136.75,226.39,122.41,164.85,232.76,308.77,258.16
2014-1,233.54,254.32,412.55,149.16,270.87,182.93,139.3,232.06,121.68,166.92,232.89,314.1,264.44
2014-2,234.54,254.64,412.65,141.61,272.11,185.36,140.36,237.37,121.91,167.97,233.39,318.55,267.45
2014-3,237.18,259.98,412.57,145.13,272.73,187.03,141.56,239.47,122.24,169.11,233.84,322.79,270.66
2014-4,240.37,263.67,412.67,164.14,273.39,189.96,142.87,238.17,122.4,169.26,236.1,325.23,270.4
2014-5,241.32,260.11,412.05,179.22,274.37,189.66,144.27,236.97,122.26,169.61,238.43,328.83,271.73
2014-6,242.07,261.04,411.81,176.98,275.02,190.54,145.69,238.16,122.36,170.28,242.53,331.87,273.63
2014-7,243.17,261.82,420.02,171.18,276.55,190.99,146.13,239.85,124.69,175.34,243.97,335.34,275.35
2014-8,243.4,264.14,418.09,162.76,277.42,191.58,146.37,239.7,124.86,176.38,245.79,340.85,277.15
2014-9,243.74,264.95,413.42,158.79,278.79,192.36,146.98,239.97,124.8,176.5,250.17,344.98,279.14
2014-10,248.37,271.97,413.41,174.59,286.99,192.75,148.01,239.53,124.68,176.55,251.47,347.96,281.21
2014-11,248.82,272.63,413.42,181.76,287.58,194.41,148.35,235.25,124.52,174.22,252.09,350.15,280.94
2014-12,247.72,272.64,413.37,175.02,287.95,194.64,148.54,231.07,124.38,174.21,252.11,351.95,283.15
2015-1,250.45,282.23,430.69,162.8,291.19,198.56,150.76,229.77,125.55,177.07,252.16,355.13,290.28
2015-2,252.24,289.53,428.79,152.09,292.52,199.02,151.99,233.84,126.73,178.1,251.97,358.89,292.0
2015-3,255.23,296.69,428.76,153.7,294.63,200.15,153.49,235.96,126.69,180.28,252.48,363.99,293.51
2015-4,259.39,301.53,428.83,172.6,295.84,202.85,153.94,236.94,126.34,182.39,254.71,368.6,297.16
2015-5,260.85,293.44,428.86,189.96,297.19,204.51,154.31,241.11,126.14,184.36,255.87,373.02,298.32
2015-6,259.51,285.26,428.83,187.45,298.09,204.32,155.13,241.08,126.19,189.23,257.66,377.07,300.69
2015-7,259.74,286.05,433.8,178.13,299.08,207.59,155.62,242.06,126.18,188.88,258.97,381.63,300.98
2015-8,260.78,289.79,435.34,170.44,300.13,208.06,156.2,241.13,127.4,192.59,262.61,389.47,304.61
2015-9,263.11,293.38,436.87,165.74,301.88,210.48,157.89,245.78,128.32,194.82,264.93,393.24,310.49
2015-10,267.2,295.6,436.83,184.69,304.33,213.41,158.54,249.21,128.64,195.73,267.65,395.88,313.76
2015-11,268.98,298.57,436.85,194.6,305.97,214.82,158.96,247.27,129.09,194.67,268.11,397.2,312.89
2015-12,269.54,302.27,436.87,190.75,307.28,215.96,159.18,245.87,128.81,194.34,268.22,398.51,314.29
2016-1,274.44,315.22,478.81,177.96,312.53,219.9,163.03,246.71,128.87,198.4,268.44,402.81,322.82
2016-2,274.38,315.1,483.58,167.0,313.65,220.99,165.97,248.61,128.33,198.14,268.74,405.97,327.04
2016-3,274.27,310.29,483.59,167.58,314.16,222.35,167.97,250.57,128.2,197.58,270.01,408.61,329.88
2016-4,276.42,305.7,483.88,188.69,315.33,223.91,168.68,252.13,128.57,199.09,272.37,410.45,330.59
2016-5,278.02,300.69,483.73,203.87,316.53,223.29,169.1,254.9,129.75,200.9,275.21,412.54,333.72
2016-6,279.33,304.18,483.72,201.16,318.01,224.24,170.35,256.62,130.06,200.52,277.82,414.58,334.75
2016-7,282.58,313.76,517.8,192.84,319.08,224.63,172.09,256.9,131.85,202.69,279.41,419.63,339.14
2016-8,281.76,307.73,535.59,183.8,320.59,225.22,172.75,257.38,131.99,203.43,286.71,423.08,340.68
2016-9,282.27,305.58,535.63,177.39,321.92,225.48,173.12,264.32,132.32,202.55,292.4,425.9,341.64
2016-10,286.33,310.96,535.6,195.9,321.16,226.82,173.43,269.61,132.24,200.46,293.3,428.88,343.07
2016-11,287.81,309.17,535.64,203.53,323.94,226.54,173.52,270.94,133.08,202.97,293.59,430.96,347.05
2016-12,292.54,319.35,574.89,198.34,327.01,229.43,174.67,276.27,132.9,205.86,293.62,432.87,349.12
2017-1,299.74,339.7,588.45,184.48,332.97,233.45,182.81,285.22,133.05,210.77,293.76,437.38,363.95
2017-2,302.17,342.57,588.6,178.3,336.91,231.88,186.77,293.25,133.92,212.65,293.81,441.13,368.96
2017-3,305.24,349.18,588.59,181.85,338.37,234.2,190.28,294.89,133.93,215.95,296.58,444.22,371.14
2017-4,309.23,353.47,588.65,198.45,339.09,236.41,191.14,297.37,133.9,217.45,298.63,448.49,375.83
2017-5,310.61,351.53,588.66,210.3,340.46,238.24,191.58,295.21,134.58,222.71,301.31,452.46,372.42
2017-6,309.78,347.81,588.7,207.68,341.51,239.39,191.91,292.73,134.05,222.4,304.47,457.12,374.37
2017-7,310.24,345.34,591.0,200.39,343.02,240.89,192.55,296.04,134.22,225.43,307.66,465.12,375.11
2017-8,311.85,344.57,591.27,194.19,345.46,244.89,192.89,302.11,134.33,226.19,316.25,469.91,377.78
2017-9,313.88,343.79,591.32,195.75,348.08,245.97,193.72,306.87,134.68,226.55,322.84,474.68,382.85
2017-10,320.4,350.57,591.32,218.28,351.34,253.24,194.61,314.89,134.67,222.59,324.03,478.02,386.41
2017-11,325.18,357.95,591.4,226.52,355.72,255.64,195.01,321.23,135.0,223.06,324.3,480.22,393.53
