Tarih,TP_FG_J0,TP_FG_J01,TP_FG_J02,TP_FG_J03,TP_FG_J04,TP_FG_J05,TP_FG_J06,TP_FG_J07,TP_FG_J08,TP_FG_J09,TP_FG_J10,TP_FG_J11,TP_FG_J12
2022-11,1115.26,1526.98,1727.47,405.43,1201.03,1027.0,573.25,1274.65,229.73,585.15,702.09,1704.95,1500.57
2022-12,1128.45,1555.31,1728.66,399.98,1235.1,1073.84,607.14,1221.87,232.35,599.62,703.46,1749.45,1536.72
2023-1,1203.48,1658.23,1922.07,393.88,1275.95,1133.71,718.58,1298.68,246.83,651.77,734.81,1972.21,1694.5
2023-2,1241.33,1780.2,1913.86,386.93,1292.22,1154.73,733.72,1332.38,248.16,657.84,776.63,2052.51,1722.54
2023-3,1269.75,1848.51,1914.9,379.52,1317.8,1186.24,748.28,1340.79,249.61,676.66,825.57,2131.51,1768.7
2023-4,1300.04,1921.46,1915.13,394.01,1298.41,1204.43,767.02,1374.88,264.41,693.78,851.01,2221.87,1793.74
2023-5,1300.6,1935.1,1920.5,432.83,1119.36,1216.35,780.86,1400.79,268.96,718.88,894.78,2379.55,1825.27
2023-6,1351.59,1993.6,2134.25,439.11,1152.79,1248.05,790.29,1512.3,279.47,734.15,915.55,2482.39,1872.13
2023-7,1479.84,2147.27,2372.57,453.1,1222.27,1359.26,897.81,1780.8,296.86,779.22,940.04,2778.32,2034.78
2023-8,1614.31,2329.27,2462.06,490.5,1306.51,1486.5,969.45,2076.51,309.57,840.61,969.31,2975.44,2188.36
2023-9,1691.04,2406.5,2709.08,503.18,1381.78,1564.03,1002.32,2166.85,320.61,879.82,1262.74,3098.92,2274.48
2023-10,1749.11,2483.58,2711.63,572.29,1485.92,1604.74,1028.8,2162.97,329.18,899.73,1266.39,3207.76,2344.59
2023-11,1806.5,2552.51,2960.04,570.51,1651.9,1641.76,1044.07,2167.41,340.46,918.23,1274.22,3288.15,2397.55
2023-12,1859.38,2675.31,2960.44,562.93,1733.98,1701.63,1090.39,2164.4,350.9,966.93,1280.69,3380.6,2442.95
2024-1,1984.02,2814.14,3106.06,553.89,1862.79,1826.36,1283.18,2305.71,361.37,1054.67,1321.25,3792.03,2693.38
2024-2,2073.88,3046.31,3121.3,555.0,1926.26,1881.27,1329.88,2371.38,376.94,1088.33,1489.88,3997.92,2788.08
2024-3,2139.47,3149.99,3120.83,569.66,1992.11,1942.12,1348.8,2412.34,398.23,1128.98,1684.75,4155.88,2878.32
2024-4,2207.5,3237.61,3419.12,595.75,2019.68,2021.99,1362.75,2480.11,410.9,1158.56,1734.87,4350.91,2979.73
2024-5,2281.85,3292.35,3581.35,652.93,2162.66,2059.75,1387.35,2508.8,415.03,1178.88,1832.52,4591.01,3028.08
2024-6,2319.29,3350.79,3583.98,649.16,2244.67,2093.22,1410.77,2505.46,425.56,1181.99,1896.16,4733.07,3075.26
2024-7,2394.1,3412.26,3793.2,632.39,2425.99,2128.29,1463.58,2601.15,439.23,1206.4,1922.36,4890.87,3165.67
2024-8,2453.34,3374.74,3962.5,634.61,2632.54,2151.64,1488.04,2677.78,441.96,1237.44,2140.36,4989.92,3231.36
2024-9,2526.16,3458.59,4127.41,657.67,2734.12,2194.21,1510.48,2743.25,438.07,1266.56,2444.56,5125.8,3336.37
2024-10,2598.91,3608.18,4125.76,751.82,2814.23,2234.07,1553.97,2728.32,453.51,1274.41,2452.54,5199.55,3403.92
2024-11,2657.23,3792.33,4124.01,749.91,2881.78,2296.82,1595.74,2736.21,462.05,1311.1,2452.77,5240.77,3447.8
2024-12,2684.55,3841.32,4123.21,744.87,2931.02,2360.58,1609.74,2724.64,470.47,1330.19,2454.37,5311.78,3500.78
2025-1,2819.65,3989.45,4165.35,706.36,3146.2,2471.41,1989.18,2839.19,480.56,1403.22,2641.58,5656.88,3769.02
2025-2,2883.75,4115.94,4164.84,670.64,3290.27,2513.4,1901.96,2925.79,492.02,1406.77,2903.73,5833.16,3879.47
2025-3,2954.69,4319.13,4579.45,654.04,3359.26,2571.63,1915.43,2933.18,493.84,1437.88,3039.63,5958.51,3948.4
2025-4,3043.23,4405.98,4576.59,696.54,3515.72,2639.44,1935.01,3044.61,498.46,1457.55,3108.85,6172.43,4053.22
2025-5,3089.74,4374.64,4579.52,745.1,3621.0,2671.36,1944.02,3125.64,494.92,1485.88,3145.81,6285.48,4117.55
2025-6,3132.17,4362.88,4586.04,743.1,3715.79,2725.06,1956.76,3199.95,504.0,1507.35,3286.64,6417.44,4188.78
2025-7,3196.66,4366.15,4847.18,699.84,3930.4,2769.53,2012.26,3292.32,525.4,1538.36,3374.43,6561.51,4270.37
2025-8,3261.72,4497.92,5139.92,694.85,4035.02,2791.57,2032.55,3343.43,533.05,1561.12,3444.14,6684.69,4298.77
2025-9,3367.22,4705.79,5138.41,722.1,4138.33,2837.62,2042.39,3437.3,539.72,1581.3,4060.48,6863.98,4390.66
2025-10,3453.09,4866.31,5262.63,811.8,4248.26,2879.75,2052.14,3474.04,541.26,1597.14,4063.68,6955.87,4429.52
2025-11,3482.96,4832.88,5389.93,817.35,4320.35,2904.7,2065.89,3535.97,544.21,1650.27,4075.8,7017.75,4479.94
2025-12,3513.87,4928.95,5393.02,793.28,4380.32,2949.95,2106.63,3499.42,560.04,1662.67,4080.93,7123.56,4539.96
2026-1,3683.83,,,,,,,,,,,,
