,actual,cf_median,cf_p16,cf_p84,gap
2009-12-31,5.986,5.668,5.502,5.85,-0.318
2010-12-31,8.583,4.381,3.501,5.182,-4.202
2011-12-31,6.452,2.152,1.08,3.257,-4.299
2012-12-31,8.936,3.715,2.724,4.815,-5.221
2013-12-31,7.494,3.347,2.283,4.436,-4.147
2014-12-31,8.852,5.81,4.813,6.71,-3.042
2015-12-31,7.667,5.335,4.21,6.171,-2.332
2016-12-31,7.785,5.209,3.817,6.063,-2.575
2017-12-31,11.133,5.958,4.182,7.1,-5.176
2018-12-31,10.767,6.012,4.79,7.09,-4.755
