sector,avg_alpha_post2008,sigma2_eps,sigma2_eta,beta_fx,beta_comm,beta_gap,loglik,converged
TP_FG_J041,1.0444687727431334,0.04825770289110574,0.29030055483385236,-0.014561845311525356,0.009942032599383768,0.003415539335383831,-282.759489430942,true
TP_FG_J043,1.009664741653139,0.04710289270663269,0.4886630123602002,0.042570100739359705,0.011901355788738875,0.004286728129412572,-290.1484192346108,true
TP_FG_J111,0.9914124787353926,0.2197298591924592,0.5510279873199818,0.03920103225225211,0.04360627796609892,0.000634911909031661,-429.4097558270238,true
TP_FG_J012,0.8398186132835932,0.4507680458913452,0.6023418126777703,0.07732938116735175,0.026582626332259152,0.005653112053501247,-449.4110336251815,true
TP_FG_J054,0.7807305722203511,0.8254183572458423,0.00009451954600101616,0.13426001058239787,0.03640844286883433,0.011178293047494434,-366.41435226737167,true
TP_FG_J092,0.7670748095056352,0.6514724858372308,0.6240663694200577,0.046866578295690964,0.018769455939487107,0.01203466001922618,-470.4088612770572,true
TP_FG_J056,0.7293260706945875,0.7127270937682251,0.369579652167887,0.06850330931800187,0.016192652423979038,0.015400909331391896,-459.7732922201428,true
TP_FG_J121,0.6290609136826286,0.9365469416084662,0.05745386045506848,0.11219318321389497,0.0465929962638153,-0.004569626944954018,-423.9455249919414,true
TP_FG_J052,0.6116162140989849,0.5600935160380535,0.4485654243549217,0.055620754314893425,0.02272240464740907,-0.005877871217779563,-442.71886248182835,true
TP_FG_J102,0.6069945732062502,6.107012533174445,0.0012672729686760268,0.04306951449846456,0.04914358873351154,0.02144686489403126,-642.5935387064246,true
TP_FG_J101,0.576753009006824,5.431466155256849,0.0002995830544850024,0.04700639482387419,0.02778368832333539,0.025108764343176555,-624.725631869675,true
TP_FG_J055,0.5713745656371946,1.3829248498952904,0.02521041393132282,0.14591667607210726,0.043142963470016185,0.004755574882685136,-459.93129692641236,true
TP_FG_J105,0.5161857795744242,2.0292851742627493,0.010925086849919257,0.05026424375998492,-0.02001374102897655,0.01561012704979067,-502.9089163611608,true
TP_FG_J045,0.5032927072675538,6.412425216977791,2.3674071915364756,0.14798769681711918,0.016763863809119883,0.05238587233637508,-763.2697701333376,true
TP_FG_J061,0.49129825059584453,4.730225181040142,0.14381199377452503,0.07001336239148498,-0.005231318993823639,-0.00277610787691809,-642.7246546148692,true
TP_FG_J124,0.484495139846026,7.184968248633198,1.324465439639507e-11,0.10218487559373006,0.014435292300373314,0.009880312772988344,-661.421352044353,true
TP_FG_J125,0.47962491814099417,7.349418960578757,0.0008886714155952499,0.17817755991932197,0.06616661190854459,0.024274999494361904,-667.4530966225947,true
TP_FG_J073,0.47801158953937983,3.0894105194066657,0.3787449389857643,0.09551921961220604,0.05923036125399172,-0.01040351776845898,-619.2311342099091,true
TP_FG_J011,0.46463574656263823,5.264872362945458,0.0004551920450497887,0.18181714935110174,-0.009659103394116688,0.00827613679058124,-621.099501292628,true
TP_FG_J032,0.43051425640668295,17.955888182388097,2.3794780119300372e-11,0.11169505386241228,0.05025784776326878,-0.022017872077179514,-786.8492357895566,true
TP_FG_J031,0.4176557492742575,29.501234935204288,1.9796686464109466e-11,0.13168192611102292,0.055902828110903725,-0.0678183742062846,-854.8689306588476,true
TP_FG_J094,0.41277561534634377,3.936930141461906,0.0005498867001658861,0.056562009410649525,0.020068791116998393,0.014026053902184005,-581.0738878611928,true
TP_FG_J053,0.408812490355358,4.396055036582228,0.0007080823762604513,0.2080598664701925,0.04527160995675271,0.04378290320801071,-596.9104652024686,true
TP_FG_J112,0.40695303367050023,4.3513016063095264,5.2960139522647026e-11,0.1865527158317315,0.04780377416339445,0.026883451381673137,-592.7670260775814,true
TP_FG_J095,0.38151478770330666,4.173734194653323,0.0011514973711488552,0.10570194232796713,-0.004272959182179574,0.009509823571713686,-590.8928750990847,true
TP_FG_J063,0.37468194200336663,7.8311431739080115,2.5169964844653485e-11,0.11380961136341168,0.050275102945403306,0.019992766291602678,-673.166623265472,true
TP_FG_J071,0.3370172992723726,4.396774173877013,0.3365209633194213,0.330208870212607,0.1070492385268017,-0.024174196600039558,-665.9426017571828,true
TP_FG_J062,0.33232025617152644,8.504177211258797,0.0036553008724499614,0.11941361249498213,0.04544644835854837,0.008040546707975372,-688.8175981380477,true
TP_FG_J082,0.32498458405172354,5.922194377905689,7.288967206554327e-6,0.24507302850403967,0.09619296392917276,-0.0460442912661046,-634.9984742222271,true
TP_FG_J044,0.3219320429986224,6.471477386436445,0.0010424574692665088,0.058092386595560645,0.03309126720489294,0.008722483369721172,-649.8260212680366,true
TP_FG_J091,0.3166127736834375,3.454820311873797,0.0001544313697164787,0.29487958040570217,0.031082912380469493,-0.00676973796206696,-562.2062198719797,true
TP_FG_J093,0.2948179769489332,2.3265074815852076,0.6108845538419402,0.11817507577178522,0.0577341112769867,-0.011083657534437711,-613.3903681411905,true
TP_FG_J083,0.2858233402716013,1.6969519591867654,0.0024266752936721323,0.04217779922402875,0.00992858898307074,0.016979065175950624,-468.99803438242446,true
TP_FG_J096,0.2369324578185428,28.847394833364778,5.7321157410733255e-11,0.19663204534329626,0.043527699557182345,0.0349170174539632,-851.7370737783315,true
TP_FG_J051,0.23075897201353393,5.9086421199746075,0.0014904645813154658,0.2142001431444429,0.07377719308967456,0.0456030565489314,-638.5010216560552,true
TP_FG_J022,0.22269444620784234,13.17865903450825,4.423724928346228e-11,0.20458390053330414,0.0675705868647486,-0.05370302630753325,-744.424766036048,true
TP_FG_J072,0.22106318723505095,5.025064032436403,0.05359876752295997,0.35867405325759405,0.3629558722693281,0.014738998487200686,-650.3972560040891,true
TP_FG_J021,0.18251141358153194,16.176352443609456,2.542199569674873e-11,0.11022141860954233,0.0467537717345527,0.039480496519896664,-772.4711524084037,true
TP_FG_J104,0.1291641716730434,51.46420608217003,2.2817502332584897e-11,0.09325722741933745,0.055180971779448994,-0.05036739996804361,-931.0073626800329,true
TP_FG_J123,0.12900215934221687,6.8262720840597915,0.000051350445886287576,0.6455352621552509,0.16890874858047758,-0.08955679200848059,-655.1863785707644,true
TP_FG_J127,0.05048078175740636,27.0128243313798,5.193472970973908e-11,0.1042726422978511,0.039229222948550836,0.008482725398895623,-842.6953709407811,true
TP_FG_J081,-0.13692133038226897,66.28732941315292,0.0007624425976951244,0.050118132273759095,0.09240304740881095,0.08544397212369446,-967.527973983454,true
