date,p_active,p_passive,phi_bar_t
2003-03-01,1.0000000000000002,1.0057990979651579e-68,2.9438854191530877
2003-04-01,1.0000000000000002,4.801592384655147e-58,2.9438854191530877
2003-05-01,1.0000000000000002,8.677348759605343e-60,2.9438854191530877
2003-06-01,1.0000000000000002,3.024208931870602e-51,2.9438854191530877
2003-07-01,1.0000000000000002,1.8754706395627923e-44,2.9438854191530877
2003-08-01,1.0000000000000002,3.046006127834415e-37,2.9438854191530877
2003-09-01,1.0000000000000002,2.2112995307865744e-29,2.9438854191530877
2003-10-01,1.0000000000000002,2.8508055159308163e-21,2.9438854191530877
2003-11-01,1.0000000000000002,1.4911341822969344e-21,2.9438854191530877
2003-12-01,1.0000000000000002,2.552742450090048e-21,2.9438854191530877
2004-01-01,1.0000000000000002,1.7512843983461463e-22,2.9438854191530877
2004-02-01,1.0000000000000002,1.4999364140914854e-18,2.9438854191530877
2004-03-01,0.999999999999998,2.1862425843007373e-15,2.9438854191530828
2004-04-01,0.9999999999999958,4.520972099374641e-15,2.943885419153078
2004-05-01,0.9999999999999997,7.719190938150794e-16,2.9438854191530868
2004-06-01,0.999999999999999,1.2624008404775882e-15,2.943885419153085
2004-07-01,0.9999999999999999,2.600097122098815e-16,2.9438854191530868
2004-08-01,0.9999999999999982,1.9894350877999868e-15,2.943885419153083
2004-09-01,0.9999999999917051,8.295169508233405e-12,2.9438854191342565
2004-10-01,0.9999999999410205,5.897980703714615e-11,2.9438854190191925
2004-11-01,0.999999998920317,1.0796834675684779e-9,2.94388541670199
2004-12-01,0.9999999772435685,2.2756431856010375e-8,2.943885367491421
2005-01-01,0.999999999309494,6.905063603535326e-10,2.9438854175855003
2005-02-01,0.999999986299444,1.3700556395597183e-8,2.9438853880500755
2005-03-01,0.9999999021129313,9.788706897710747e-8,2.9438851969297968
2005-04-01,0.9999996066871469,3.9331285341001905e-7,2.9438845262539775
2005-05-01,0.9999979487259073,2.051274093259103e-6,2.943880762349229
2005-06-01,0.999994152498435,5.847501565398105e-6,2.9438721441510065
2005-07-01,0.9999987071979615,1.2928020391798457e-6,2.943882484233009
2005-08-01,0.9999996036294667,3.963705338386797e-7,2.9438845193124297
2005-09-01,0.9999971686634594,2.831336541005648e-6,2.943878991450923
2005-10-01,0.9999953092862535,4.690713746847698e-6,2.9438747702915085
2005-11-01,0.9999770774912045,0.000022922508795872514,2.943833380457829
2005-12-01,0.9999694767090268,0.00003052329097358432,2.9438161251568933
2006-01-01,0.999991602965116,8.397034884316594e-6,2.943866356198709
2006-02-01,0.9999878560103438,0.000012143989656396045,2.943857849859404
2006-03-01,0.9999959204003485,4.07959965189107e-6,2.9438761576431483
2006-04-01,0.9999905037093103,9.49629068988307e-6,2.9438638606674217
2006-05-01,0.9999667588402518,0.00003324115974841768,2.943809955049328
2006-06-01,0.9999999707180612,2.9281939056595837e-8,2.94388535267721
2006-07-01,0.99999999885202,1.1479802153139533e-9,2.9438854165469426
2006-08-01,0.9999999962964974,3.703503045439189e-9,2.9438854107453936
2006-09-01,0.9999999995972875,4.027130977772965e-10,2.943885418238849
2006-10-01,0.9999999909122889,9.087711410426933e-9,2.9438853985221596
2006-11-01,0.9999999886767573,1.132324292892211e-8,2.943885393447054
2006-12-01,0.9999999954998317,4.50016864141432e-9,2.943885408936802
2007-01-01,0.9999999997574652,2.4253498526841475e-10,2.9438854186024845
2007-02-01,0.999999997938912,2.0610880110608715e-9,2.943885414474004
2007-03-01,0.9999999995144917,4.855082774655414e-10,2.943885418050886
2007-04-01,0.9999999989133905,1.0866094012717507e-9,2.943885416686266
2007-05-01,0.9999999987679115,1.2320883969132646e-9,2.943885416355999
2007-06-01,0.9999999993294765,6.705234455069305e-10,2.943885417630864
2007-07-01,0.9999999997947548,2.052450256217622e-10,2.9438854186871395
2007-08-01,0.9999999999429571,5.704287360025993e-11,2.943885419023588
2007-09-01,0.9999999996315567,3.68442986725272e-10,2.943885418316647
2007-10-01,0.9999999907594828,9.240516948648227e-9,2.9438853981752584
2007-11-01,0.9999999018874507,9.811254914328505e-8,2.9438851964179102
2007-12-01,0.9999998215230897,1.7847691017607878e-7,2.9438850139746826
2008-01-01,0.9999999693198929,3.0680107058322915e-8,2.943885349503087
2008-02-01,0.9999999195757318,8.042426824710816e-8,2.9438852365738577
2008-03-01,0.9999998377884772,1.6221152275807176e-7,2.9438850509003767
2008-04-01,0.9999998711266296,1.288733705138049e-7,2.943885126584673
2008-05-01,0.9999998616745606,1.3832543955079661e-7,2.9438851051265797
2008-06-01,0.99999997033304,2.9666959995136192e-8,2.9438853518031345
2008-07-01,0.9999999993398598,6.601401571885764e-10,2.9438854176544367
2008-08-01,0.9999999955360356,4.463964477227372e-9,2.943885409018992
2008-09-01,0.9999999988389916,1.161008358213531e-9,2.943885416517365
2008-10-01,0.9999999824040526,1.7595947384631958e-8,2.9438853792067556
2008-11-01,0.9999346358872596,0.00006536411274043735,2.9437370294993164
2008-12-01,0.9946317676359352,0.005368232364064737,2.9316984543421505
2009-01-01,0.6775819876040301,0.3224180123959699,2.211931825306313
2009-02-01,0.11051489878574852,0.8894851012142515,0.9245757296331747
2009-03-01,0.010109910809334013,0.9898900891906657,0.6966362567627146
2009-04-01,0.00019411680540478828,0.9998058831945948,0.67412541438426
2009-05-01,0.00004741884107068007,0.9999525811589288,0.6737923805645721
2009-06-01,0.00002821754427824164,0.9999717824557215,0.6737487897673669
2009-07-01,0.00003967788356160109,0.9999603221164381,0.6737748070375027
2009-08-01,0.000022913912920019686,0.9999770860870799,0.673736749459804
2009-09-01,0.000029708107899109312,0.9999702918921007,0.6737521736459258
2009-10-01,0.00002144414271589097,0.9999785558572838,0.6737334127864739
2009-11-01,0.00001304821190768886,0.999986951788092,0.6737143523385695
2009-12-01,0.0000109579141473289,0.9999890420858524,0.6737096069431538
2010-01-01,0.000012637433956039195,0.9999873625660437,0.6737134197901806
2010-02-01,8.594653762869557e-6,0.9999914053462369,0.6737042418678011
2010-03-01,0.00001305585479775776,0.999986944145202,0.6737143696894636
2010-04-01,0.00002192119371996768,0.9999780788062796,0.6737344957879919
2010-05-01,0.00003056440632309435,0.9999694355936765,0.6737541176151977
2010-06-01,0.000049856492896151464,0.9999501435071035,0.6737979145234257
2010-07-01,0.00005820815962846113,0.9999417918403712,0.6738168744829947
2010-08-01,0.00006625156586721733,0.9999337484341326,0.6738351346293788
2010-09-01,0.0000393721079332146,0.9999606278920665,0.6737741128654604
2010-10-01,0.000042409827769047765,0.9999575901722307,0.6737810090991243
2010-11-01,0.00036551776108640667,0.9996344822389135,0.6745145289519222
2010-12-01,0.0005081935802902063,0.9994918064197097,0.6748384316949644
2011-01-01,0.0005976793140567302,0.9994023206859433,0.6750415822694056
2011-02-01,0.0006691154534202228,0.9993308845465796,0.675203756642199
2011-03-01,0.0006955052117680659,0.9993044947882317,0.6752636666897794
2011-04-01,0.0006822627399915373,0.9993177372600084,0.6752336036212301
2011-05-01,0.000728669130741641,0.9992713308692583,0.6753389554414791
2011-06-01,0.000767045031525242,0.9992329549684749,0.6754260764378744
2011-07-01,0.00041373083829804964,0.999586269161702,0.6746239823130209
2011-08-01,0.00013763415699820204,0.9998623658430019,0.6739971874369383
2011-09-01,0.000044977741019998584,0.9999550222589803,0.673786838777556
2011-10-01,0.000057258139639254586,0.9999427418603609,0.673814717746961
2011-11-01,0.00002838126121602766,0.999971618738784,0.673749161437672
2011-12-01,0.0000361689894662967,0.9999638310105339,0.6737668411437105
