,actual,cf_median,cf_p16,cf_p84,gap
2009-12-31,8.432,8.758,8.561,8.985,0.326
2010-12-31,5.604,7.136,6.072,8.239,1.531
2011-12-31,2.958,4.245,3.1,5.505,1.287
2012-12-31,5.0,5.987,4.885,7.434,0.987
2013-12-31,3.812,5.588,4.404,6.911,1.775
2014-12-31,7.75,8.803,7.223,10.402,1.053
2015-12-31,7.271,8.072,6.453,9.577,0.801
2016-12-31,7.25,7.916,6.095,9.351,0.666
2017-12-31,7.25,9.179,6.565,11.365,1.929
2018-12-31,7.25,9.258,7.243,11.217,2.008
